name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
london,2018-10-23,16,5.5,10.8,16,3.4,9.8,6.4,75.6,0,0,0,,0,0,,19.9,282.7,1031.5,29,23.5,44.3,3.7,3,,2018-10-23T07:37:56,2018-10-23T17:50:53,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-10-24,18,7.9,13.2,18,5.5,13.1,9.7,80.3,0,0,0,,0,0,,17.1,303.3,1028.6,42.4,21.4,48.1,4,3,,2018-10-24T07:39:41,2018-10-24T17:48:52,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,remote,03772099999,03770099999"
london,2018-10-25,14.6,6,10.1,14.6,4.9,9.6,6.8,80.8,0,0,0,,0,0,,13.8,289.6,1022.3,70,17.2,53,4.6,3,,2018-10-25T07:41:26,2018-10-25T17:46:53,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-10-26,11.6,6.1,9.5,11.6,3.3,8.5,4.7,72.1,0.803,100,4.17,rain,0,0,46.4,23.9,289.2,1012.3,60.1,31.1,27.5,2.3,1,,2018-10-26T07:43:11,2018-10-26T17:44:56,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-10-27,7.5,4,5.4,4.5,0.7,2.4,0.9,72.7,0.001,100,4.17,rain,0,0,44.6,20.5,346.5,1014.2,49.1,35.2,54,4.8,4,,2018-10-27T07:44:56,2018-10-27T17:42:59,0.6,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-10-28,10.1,4.6,6.6,10.1,1.6,4.1,3.1,79.3,3.978,100,8.33,rain,0,0,63,23.6,28.9,1017.8,41.1,30.3,33.1,3,2,,2018-10-28T06:46:41,2018-10-28T16:41:04,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-10-29,9.1,3.1,5.9,6.8,0.3,3.3,1.5,74.2,0.001,100,4.17,rain,0,0,,18.5,24.1,1007.6,23.2,31.7,59.2,5,4,,2018-10-29T06:48:27,2018-10-29T16:39:10,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,03772099999,03770099999"
london,2018-10-30,9.1,5.6,7.3,6.2,2.4,4.5,3.7,78,0.001,100,4.17,rain,0,0,31.7,21.8,304,997.2,89,23.5,22.5,2,1,,2018-10-30T06:50:13,2018-10-30T16:37:18,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-10-31,13.1,1.1,7.6,13.1,1.1,7.3,3.7,77.9,0,0,0,,0,0,38.9,23.1,135.5,1006.7,37.2,23.5,53.3,4.6,3,,2018-10-31T06:51:59,2018-10-31T16:35:27,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-01,11.6,5.1,9.7,11.6,3.5,9.2,8.6,93,6.808,100,16.67,rain,0,0,,16.5,264.6,1006.3,68.7,10,18,1.5,1,,2018-11-01T06:53:45,2018-11-01T16:33:38,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,03772099999,03770099999"
london,2018-11-02,11.1,1.5,5.6,11.1,-0.3,4.4,2.5,81.7,0.001,100,4.17,rain,0,0,,13.3,262.5,1024,11.5,23.6,50.4,4.4,4,,2018-11-02T06:55:31,2018-11-02T16:31:50,0.82,Rain,Clear conditions throughout the day with afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-03,14,6,9.4,14,4.3,8.4,4.6,72.2,0,0,0,,0,0,48.2,28.2,186.4,1022.9,35,26.6,35.9,3.1,2,,2018-11-03T06:57:17,2018-11-03T16:30:04,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,AR120,03772099999,03770099999"
london,2018-11-04,13.1,8,10.5,13.1,5.9,9.8,6.6,76.4,0,0,0,,0,0,,17.2,157.8,1010.7,67.9,21.9,33.3,2.8,1,,2018-11-04T06:59:03,2018-11-04T16:28:19,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,AR120,03772099999,03770099999"
london,2018-11-05,15,8.5,11.4,15,7.4,11,9.7,89.2,0,0,0,,0,0,25.9,12.2,98.1,1004,56.8,7.5,28.6,2.3,1,,2018-11-05T07:00:49,2018-11-05T16:26:36,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,03772099999,03770099999"
london,2018-11-06,16,9.6,13,16,8.5,12.8,10.8,87.1,0.198,100,4.17,rain,0,0,38.9,24.8,156.2,999.5,66.1,13.9,19.5,1.6,1,,2018-11-06T07:02:35,2018-11-06T16:24:55,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,03772099999,03770099999"
london,2018-11-07,14.6,9.1,12.4,14.6,6.2,12.3,9.7,83.9,3.055,100,12.5,rain,0,0,56.8,31.7,180.1,997.9,75.9,18.3,26.2,2.1,1,,2018-11-07T07:04:21,2018-11-07T16:23:16,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,D6143,03772099999,03770099999"
london,2018-11-08,14.1,6.1,10,14.1,4.8,8.9,5.9,76.1,0.597,100,4.17,rain,0,0,48.2,27.2,174,1013.8,21.8,23.9,41.8,3.6,2,,2018-11-08T07:06:07,2018-11-08T16:21:39,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,03772099999,03770099999"
london,2018-11-09,13.1,7.6,10.5,13.1,5.6,9.8,7.9,84.6,0.399,100,4.17,rain,0,0,54.5,31.1,161.3,1004.1,62.5,15.5,25.2,2.3,1,,2018-11-09T07:07:53,2018-11-09T16:20:03,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-10,14.6,9,11,14.6,7.4,10.5,9.5,90.8,24.959,100,12.5,rain,0,0,50,24,195.5,994.2,62,11.4,30.5,2.6,2,,2018-11-10T07:09:38,2018-11-10T16:18:30,0.09,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-11,13.6,8.6,10.6,13.6,7.1,10.1,7.8,83.2,16.963,100,12.5,rain,0,0,42.5,24.3,206,999.3,40.5,21.5,34.6,3,2,,2018-11-11T07:11:23,2018-11-11T16:16:58,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,03772099999,03770099999"
london,2018-11-12,14.6,9.5,11,14.6,8.6,10.9,8.9,87.4,8.964,100,16.67,rain,0,0,,24.8,198.7,1009.3,49.5,18.5,25,2.1,2,,2018-11-12T07:13:08,2018-11-12T16:15:29,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-13,13.6,8.6,10.7,13.6,6.4,10,7.2,79.6,0.011,100,4.17,rain,0,0,,23.2,226.6,1020.4,22.3,21.4,38.5,3.3,3,,2018-11-13T07:14:52,2018-11-13T16:14:02,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-14,14.6,9.1,11.5,14.6,8.2,11.5,8.6,82.6,0.198,100,4.17,rain,0,0,,19.7,184.4,1022.2,52.9,19.9,37.4,3.4,3,,2018-11-14T07:16:36,2018-11-14T16:12:37,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-15,15,10.6,12.7,15,10.6,12.7,11.3,91.1,0,0,0,,0,0,,14.6,149.5,1020.8,94.4,5.3,66.6,5.8,3,,2018-11-15T07:18:19,2018-11-15T16:11:14,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-16,11.6,9.1,10.3,11.6,7.1,9.8,9.5,94.7,0.002,100,8.33,rain,0,0,25.9,13.6,105.5,1025.1,98,2.8,35.9,3.1,2,,2018-11-16T07:20:02,2018-11-16T16:09:53,0.28,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"03769099999,03680099999,03672099999,03781099999,03772099999,03770099999"
london,2018-11-17,11.5,7.5,9,11.5,4.7,7.2,6.2,82.6,0.001,100,4.17,rain,0,0,,20.2,83.7,1026.8,41.1,8.7,31.5,2.8,2,,2018-11-17T07:21:44,2018-11-17T16:08:35,0.32,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-18,11.1,6.1,8.3,11.1,3.5,6.7,3.8,73.7,0,0,0,,0,0,46.4,23.8,65.5,1026.9,3.3,17.4,32.1,2.7,2,,2018-11-18T07:23:25,2018-11-18T16:07:20,0.35,Clear,Clear conditions throughout the day.,clear-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-19,8.6,5,7.3,5.9,1,4.2,2.9,74.2,0.202,100,4.17,rain,0,0,53.6,23,61.5,1020.3,70,27.4,23.3,1.9,1,,2018-11-19T07:25:06,2018-11-19T16:06:06,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-20,5.6,3,4.5,3,0.4,1.3,2.5,86.9,10.951,100,16.67,rain,0,0,53.6,21.5,53.8,1008.6,86,14,6.5,0.5,0,,2018-11-20T07:26:46,2018-11-20T16:04:56,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,D6143,03772099999,03770099999"
london,2018-11-21,7.1,2,4,4.2,-1.1,1.9,1.6,85,4.99,100,12.5,rain,0,0,,18.8,125.6,1012.1,63.9,10.8,24.1,2,2,,2018-11-21T07:28:24,2018-11-21T16:03:47,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-22,6.1,0.5,4.1,5.1,-0.4,3.1,2,86.3,0,0,0,,0,0,,9.9,70.4,1017.6,56.9,4.8,8.8,0.7,0,,2018-11-22T07:30:02,2018-11-22T16:02:42,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-23,8.6,5.1,7.2,7,3.4,5.5,5.6,89.2,0,0,0,,0,0,,13.6,84.4,1013.9,97.8,3.5,9.5,0.8,0,,2018-11-23T07:31:39,2018-11-23T16:01:39,0.5,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-24,9.6,8,8.7,7.4,5.7,6.5,6.1,83.5,0.598,100,4.17,rain,0,0,,17.7,66.4,1009.8,96.9,6.8,9.8,0.7,1,,2018-11-24T07:33:14,2018-11-24T16:00:39,0.54,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-25,8.6,5.6,7.5,6.5,3.5,5.1,4.1,78.8,0.005,100,8.33,rain,0,0,,19.5,54,1010.6,90.6,11,13.2,1.1,1,,2018-11-25T07:34:48,2018-11-25T15:59:42,0.58,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-26,8,5,7.1,6.5,2.9,5.1,3.9,80,0,0,0,,0,0,,14.4,5.6,1013.6,76.7,15.7,13.2,1,1,,2018-11-26T07:36:21,2018-11-26T15:58:47,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-27,10.1,3.6,6.5,10.1,1.1,4.7,5.4,92.9,3.016,100,4.17,rain,0,0,35.3,23.8,155.4,1013.7,89,5.2,13.6,1.2,1,,2018-11-27T07:37:53,2018-11-27T15:57:56,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-28,13.6,9,12.2,13.6,7.9,12,10.8,91.5,3.8,100,12.5,rain,0,0,61.2,33.1,202.9,1007.1,89.5,9.6,6.3,0.7,0,,2018-11-28T07:39:23,2018-11-28T15:57:07,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,AR120,03772099999,03770099999"
london,2018-11-29,14,9.6,12.3,14,6.9,12.2,9.2,81,1.22,100,16.67,rain,0,0,70.6,40.7,204.2,1001.7,76.3,17.2,14.9,1.2,1,,2018-11-29T07:40:51,2018-11-29T15:56:21,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-11-30,11.6,7.1,9.3,11.6,4.8,7.9,5.6,78.4,0.406,100,12.5,rain,0,0,,23.4,222.8,1007,19.3,20.2,28.4,2.5,2,,2018-11-30T07:42:18,2018-11-30T15:55:39,0.75,Rain,Clear conditions throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-01,13.1,7.1,10.5,13.1,5.1,9.8,8.5,87.4,5.007,100,4.17,rain,0,0,44.6,23.7,202.5,1003.4,83,17.4,7.8,0.5,0,,2018-12-01T07:43:43,2018-12-01T15:54:59,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-02,15,11.6,13.7,15,11.6,13.7,11.7,87.3,0.815,100,12.5,rain,0,0,50,25.6,233.1,997.3,85,25.8,15.6,1.4,1,,2018-12-02T07:45:06,2018-12-02T15:54:23,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-03,13.5,7,11.3,13.5,5.3,10.8,8.2,81.2,3.983,100,12.5,rain,0,0,57.6,27.2,253.5,1001.1,63.6,20.8,19.2,1.6,1,,2018-12-03T07:46:27,2018-12-03T15:53:49,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,03772099999,03770099999"
london,2018-12-04,8.6,2.6,6.1,8.6,1.4,5.3,3.6,84.7,0,0,0,,0,0,,10,244.9,1020.7,43.8,23.7,27.3,2.4,2,,2018-12-04T07:47:46,2018-12-04T15:53:19,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-05,13,6.5,10.2,13,3.4,9.2,9.1,93,1.627,100,16.67,rain,0,0,,20.8,176.4,1014.2,93.2,10.9,10.4,1,1,,2018-12-05T07:49:03,2018-12-05T15:52:53,0.94,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-06,13.1,10.6,12.2,13.1,10.6,12.2,10.3,87.9,0.203,100,8.33,rain,0,0,40.7,24.9,233.7,1013.6,92.6,22.7,9.6,0.7,1,,2018-12-06T07:50:18,2018-12-06T15:52:29,0.97,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-07,13.6,7,10.7,13.6,3,9.3,7.7,81.9,8.003,100,12.5,rain,0,0,70.6,33.9,241.2,1003.9,64.5,20.6,8.2,0.7,0,,2018-12-07T07:51:31,2018-12-07T15:52:09,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-08,11.6,7.6,9.8,11.6,3.6,7.6,5.8,76,0.798,100,4.17,rain,0,0,66,39.4,254.2,1002.4,54.3,21,16.3,1.3,1,,2018-12-08T07:52:41,2018-12-08T15:51:52,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-09,11,6.1,9.4,11,3.4,7.7,5.2,75.3,1.205,100,8.33,rain,0,0,57.9,38,280,1009.3,58.2,28.9,16.8,1.4,1,,2018-12-09T07:53:49,2018-12-09T15:51:38,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-10,9.1,5.5,7.7,7.9,2.5,5.6,4.7,81.6,0,0,0,,0,0,,17.5,279.9,1026.6,76.2,26.9,16.6,1.5,1,,2018-12-10T07:54:54,2018-12-10T15:51:28,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,03772099999,03770099999"
london,2018-12-11,10,3,5.8,10,1.9,5.1,3.9,88.1,0,0,0,,0,0,,10.6,136.8,1025.1,20.7,13.1,21.8,2,1,,2018-12-11T07:55:57,2018-12-11T15:51:21,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-12,8.1,3.6,6.5,6.1,0.1,3.8,2.2,74.8,0.001,100,4.17,rain,0,0,29.5,20.3,124.3,1021.7,57.7,18.4,18.3,1.5,1,,2018-12-12T07:56:57,2018-12-12T15:51:18,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-13,5.5,2.1,3.4,1.6,-2.2,0,-0.5,75.7,0,0,0,,0,0,,22.7,99.8,1018,22.4,18.3,23.8,2.1,2,,2018-12-13T07:57:54,2018-12-13T15:51:18,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-14,4.1,2.1,3.2,4,-0.5,1.8,-2,68.5,0,0,0,,0,0,29.5,13.8,108.9,1022.9,76.5,13.2,9.9,0.9,1,,2018-12-14T07:58:49,2018-12-14T15:51:21,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,03772099999,03770099999"
london,2018-12-15,7,1.6,3.3,5,-3,-1.1,0,79.1,10.981,100,4.17,rain,0,0,48.2,27.2,143.6,1012.4,84.1,11.7,8.4,0.7,0,,2018-12-15T07:59:41,2018-12-15T15:51:28,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-16,9.1,3.1,6.9,8,1.5,4.8,5.3,89.6,1.009,100,8.33,rain,0,0,,19.4,194.3,1006,39.7,16.5,19.6,1.8,1,,2018-12-16T08:00:29,2018-12-16T15:51:39,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,D4121,03772099999,03770099999"
london,2018-12-17,10,4.1,7.4,10,1.2,5.2,5.5,87.9,5.004,100,4.17,rain,0,0,,18.2,225.1,1016.1,41.3,22.4,22.3,1.9,2,,2018-12-17T08:01:15,2018-12-17T15:51:52,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-18,11,8,9.9,11,4.9,9,6.8,81.3,2.009,100,4.17,rain,0,0,48.9,30.2,179.2,1009.2,85.8,16.9,12.1,1.1,1,,2018-12-18T08:01:58,2018-12-18T15:52:09,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-19,9.6,6.6,8,7.6,4.3,5.7,5.9,86.4,5.202,100,16.67,rain,0,0,,16.9,202.3,1004.7,55.1,25.9,18.4,1.5,1,,2018-12-19T08:02:37,2018-12-19T15:52:30,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-20,10.1,6.5,8.5,10.1,3.7,6.5,5.5,81.2,0.208,100,12.5,rain,0,0,35.3,21.2,222.9,1006.1,57.7,23.1,21.8,1.9,2,,2018-12-20T08:03:14,2018-12-20T15:52:54,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-21,13,9.1,11.4,13,7.4,11.4,8.3,81.6,6.206,100,8.33,rain,0,0,79.6,40.6,241.3,1001.4,84.2,13.3,15.6,1.3,1,,2018-12-21T08:03:47,2018-12-21T15:53:21,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-22,11.5,8,9.9,11.5,6.1,8.8,6.8,81.5,0.797,100,4.17,rain,0,0,50.7,33,256.7,1015.4,49.4,20.7,20.2,1.7,1,,2018-12-22T08:04:17,2018-12-22T15:53:51,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,D6143,03772099999,03770099999"
london,2018-12-23,13.1,7.1,9.4,13.1,5,8.2,8.1,91.6,3.6,100,8.33,rain,0,0,,23.2,246.8,1017.8,83,14.4,8.1,0.6,1,,2018-12-23T08:04:44,2018-12-23T15:54:25,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-24,8.1,3.6,6.1,7.7,3.6,5.6,4.1,86.9,1.999,100,4.17,rain,0,0,,9.7,50.8,1031.8,54.9,11.2,20.7,1.8,1,,2018-12-24T08:05:08,2018-12-24T15:55:02,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,D6143,03772099999,03770099999"
london,2018-12-25,8.6,1.6,5.7,8.1,0.6,5.1,4.3,90.9,0.199,100,4.17,rain,0,0,25.9,7.3,156,1034.4,89.6,16.9,10.2,0.8,1,,2018-12-25T08:05:28,2018-12-25T15:55:43,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-26,9.6,5.1,8,8.7,4.3,7.3,6.4,89.9,0.001,100,4.17,rain,0,0,25.9,11.5,194.6,1030.6,89,10,10.7,0.8,1,,2018-12-26T08:05:45,2018-12-26T15:56:26,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-27,8.6,4,5.4,8.6,3.7,5.3,4.5,94.2,0,0,0,,0,0,,5,312.6,1026.5,59.7,4.7,21,1.8,1,,2018-12-27T08:05:58,2018-12-27T15:57:12,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-28,10,6,7.9,10,6,7.4,5.7,86.3,0,0,0,,0,0,,13.2,262,1030.5,92.9,14.1,10.4,1,0,,2018-12-28T08:06:08,2018-12-28T15:58:02,0.7,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-29,12.5,7.6,10,12.5,6.9,9.1,8.1,87.7,0,0,0,,0,0,48.2,28.3,259.5,1032.4,84.3,22.9,11.2,1,1,,2018-12-29T08:06:15,2018-12-29T15:58:55,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-30,10.6,7,9.2,10.6,5.8,8.5,8.1,93.3,0.199,100,4.17,rain,0,0,,15.4,271.1,1035.2,97.7,8.2,8.6,0.6,0,,2018-12-30T08:06:19,2018-12-30T15:59:50,0.77,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
london,2018-12-31,10.1,8.2,8.8,10.1,5.9,7.1,6.1,83,0,0,0,,0,0,,14.7,286.7,1035.7,99.9,30.7,8.2,0.6,0,,2018-12-31T08:06:19,2018-12-31T16:00:48,0.81,Overcast,Cloudy skies throughout the day.,cloudy,"03769099999,03680099999,D5621,03672099999,03781099999,03772099999,03770099999"
